TIME1,TIME,HUMIDITY,TEMPERATURE,ABSOLUTE PRESSURE,PRESSURE IN HG,SEALEVEL PRESSURE,SEA LEVEL PRESSURE IN HG
28,[2019-10-31 23:40:58.338] ,92,24.8,920.47,27.18 inHg,944.06,27.88 inHg
29,[2019-10-31 23:50:58.783] ,92,24.7,920.46,27.18 inHg,944.06,27.88 inHg
30,[2019-11-01 00:00:59.244] ,92,24.8,920.57,27.19 inHg,944.17,27.88 inHg
31,[2019-11-01 00:10:59.704] ,92,24.8,920.82,27.20 inHg,944.43,27.89 inHg
32,[2019-11-01 00:21:00.165] ,92,24.8,920.9,27.20 inHg,944.51,27.89 inHg
33,[2019-11-01 00:31:00.626] ,92,24.7,921.01,27.20 inHg,944.62,27.90 inHg
34,[2019-11-01 00:41:01.071] ,92,24.8,921.09,27.20 inHg,944.71,27.90 inHg
35,[2019-11-01 00:51:01.531] ,92,24.8,921.28,27.21 inHg,944.89,27.91 inHg
36,[2019-11-01 01:01:01.992] ,92,24.8,921.4,27.21 inHg,945.02,27.91 inHg
37,[2019-11-01 01:11:02.453] ,93,24.8,921.37,27.21 inHg,944.99,27.91 inHg
38,[2019-11-01 01:21:02.898] ,92,24.7,921.55,,945.22,
39,[2019-11-01 01:31:02.898] ,92,24.8,921.69,27.22 inHg,945.31,27.92 inHg
40,[2019-11-01 01:41:03.788] ,92,24.8,921.76,27.22 inHg,945.39,27.92 inHg
41,[2019-11-01 01:51:04.248] ,93,24.8,921.83,27.22 inHg,945.46,27.92 inHg
42,[2019-11-01 02:01:04.693] ,92,24.8,921.8,27.22 inHg,945.43,27.92 inHg
43,[2019-11-01 02:11:05.154] ,93,24.8,921.79,27.22 inHg,945.42,27.92 inHg
44,[2019-11-01 02:21:05.615] ,92,24.9,921.35,27.21 inHg,944.97,27.91 inHg
45,[2019-11-01 02:31:06.075] ,90,24.8,921.09,27.20 inHg,944.71,27.90 inHg
46,[2019-11-01 02:41:06.536] ,88,25,920.66,27.19 inHg,944.26,27.89 inHg
47,[2019-11-01 02:51:06.997] ,90,25,920.16,27.18 inHg,943.75,27.87 inHg
48,[2019-11-01 03:01:07.457] ,91,25.1,919.63,27.16 inHg,943.21,27.86 inHg
49,[2019-11-01 03:11:07.934] ,89,25,919.79,27.16 inHg,943.37,27.86 inHg
50,[2019-11-01 03:21:08.379] ,90,25.1,919.73,27.16 inHg,943.31,27.86 inHg
51,[2019-11-01 03:31:08.855] ,84,25.1,919.81,27.17 inHg,943.39,27.86 inHg
52,[2019-11-01 03:41:09.316] ,91,25.2,920.03,27.17 inHg,943.61,27.87 inHg
53,[2019-11-01 03:51:09.776] ,83,25.2,919.65,27.16 inHg,943.23,27.86 inHg
54,[2019-11-01 04:01:10.237] ,86,25.2,919.13,27.15 inHg,942.69,27.84 inHg
55,[2019-11-01 04:11:10.698] ,88,25.4,918.68,27.13 inHg,942.23,27.83 inHg
56,[2019-11-01 04:21:11.174] ,89,25.4,918.83,27.14 inHg,942.39,27.83 inHg
57,[2019-11-01 04:31:11.634] ,85,25.4,918.31,27.12 inHg,941.85,27.82 inHg
58,[2019-11-01 04:41:12.095] ,85,25.4,918.27,27.12 inHg,941.81,27.81 inHg
59,[2019-11-01 04:51:12.556] ,86,25.5,917.91,27.11 inHg,941.43,27.80 inHg
60,[2019-11-01 05:01:13.032] ,87,25.5,918.32,27.12 inHg,941.86,27.82 inHg
61,[2019-11-01 05:11:13.493] ,81,25.4,917.7,27.10 inHg,941.23,
62,[2019-11-01 05:21:13.969] ,85,25.6,917.6,27.10 inHg,941.12,27.79 inHg
63,[2019-11-01 05:31:14.430] ,82,25.6,917.75,27.10 inHg,941.28,27.80 inHg
64,[2019-11-01 05:41:14.890] ,76,25.4,917.61,27.10 inHg,941.25,
65,[2019-11-01 05:51:15.351] ,78,25.4,917.71,27.09 inHg,941.23,27.80 inHg
66,[2019-11-01 06:01:44.594] ,81,25.6,917.71,27.09 inHg,941.12,27.79 inHg
67,[2019-11-01 06:11:44.594] ,78,25.6,917.71,27.09 inHg,940.39,27.77 inHg
68,[2019-11-01 06:21:44.594] ,76,25.5,915.69,27.04 inHg,940.17,27.77 inHg
69,[2019-11-01 06:31:44.594] ,76,25.5,915.69,27.04 inHg,943.2,27.86 inHg
70,[2019-11-01 06:41:44.594] ,74,25.4,917.78,27.10 inHg,941.13,27.79 inHg
71,[2019-11-01 06:51:44.594] ,74,25.4,917.78,27.10 inHg,940.39,27.77 inHg
72,[2019-11-01 07:02:44.594] ,71,25.3,917.88,27.11 inHg,941.41,27.80 inHg
73,[2019-11-01 07:02:44.672] ,71,25.2,916.88,27.08 inHg,940.98,
74,[2019-11-01 07:12:45.135] ,76,25.1,917.05,27.08 inHg,940.56,27.78 inHg
75,[2019-11-01 07:22:45.587] ,74,25,915.78,27.05 inHg,939.25,27.74 inHg
76,[2019-11-01 07:32:46.048] ,89,25.6,915.69,,939.16,
77,[2019-11-01 11:46:20.798] ,87,25.2,915.6,27.04 inHg,939.07,27.73 inHg
78,[2019-11-01 11:56:21.252] ,84,25.2,916.54,27.07 inHg,940.04,27.76 inHg
79,[2019-11-01 12:09:48.120],91,24.5,912.87,26.96 inHg,936.27,27.65 inHg
80,[2019-11-01 12:19:48.120] ,86,25.2,909.5,26.86 inHg,932.81,27.55 inHg
81,[2019-11-01 12:29:48.120] ,92,27.1,939,29.79 in Hg,962.81,28.43 inHg
82,[2019-11-01 12:40:18.532] ,90.9,24.7,928.14,,951.8,
83,[2019-11-01 12:50:18.532] ,91.2,24.6,928.28,,951.9,
84,[2019-11-01 13:03:38.994] ,84.3,25.1,917.28,27.09 inHg,940.8,27.78 inHg
85,[2019-11-01 13:14:05.149] ,89.2,24.7,918.47,27.13 inHg,942.02,27.82 inHg
86,[2019-11-01 13:24:05.547] ,92.7,24.6,918.37,27.12 inHg,941.91,27.82 inHg
87,[2019-11-01 13:34:05.961] ,91.9,24.6,918.35,27.12 inHg,941.89,27.82 inHg
88,[2019-11-01 13:44:06.359] ,93.1,24.6,919.06,27.14 inHg,942.62,27.84 inHg
89,[2019-11-01 13:54:06.773] ,93.8,24.4,916.92,27.08 inHg,940.42,27.77 inHg
90,[2019-11-01 14:04:07.187] ,93.5,24.5,919.04,27.14 inHg,942.6,27.84 inHg
91,[2019-11-01 14:14:07.585] ,93.6,24.5,919.26,27.15 inHg,942.83,27.84 inHg
92,[2019-11-01 14:24:07.999] ,92.9,24.6,919.84,27.17 inHg,943.42,27.86 inHg
93,[2019-11-01 14:34:08.397] ,93.2,24.4,920.21,27.18 inHg,943.8,27.87 inHg
94,[2019-11-01 14:44:08.811] ,93.8,24.4,919.46,27.15 inHg,943.03,27.85 inHg
95,[2019-11-01 14:54:09.225] ,93.9,24.6,919.39,27.15 inHg,942.96,27.85 inHg
96,[2019-11-01 15:04:09.623] ,93.6,24.6,919.42,27.15 inHg,942.99,27.85 inHg
97,[2019-11-01 15:14:10.037] ,91.6,24.6,918.89,27.14 inHg,942.45,27.83 inHg
98,[2019-11-01 15:24:10.451] ,93.1,24.7,918.9,27.14 inHg,942.45,27.83 inHg
99,[2019-11-01 15:34:10.865] ,91.2,24.7,919.1,27.14 inHg,942.66,27.84 inHg
100,[2019-11-01 15:44:11.263] ,93.6,24.6,919.23,27.15 inHg,942.79,27.84 inHg
101,[2019-11-01 15:54:11.677] ,93.9,24.6,919.36,27.15 inHg,942.92,27.85 inHg
102,[2019-11-01 16:04:12.091] ,94,24.6,919.33,27.15 inHg,942.89,27.85 inHg
103,[2019-11-01 16:14:12.505] ,94.4,24.6,919.24,27.15 inHg,942.8,27.84 inHg
104,[2019-11-01 16:24:12.903] ,94.4,24.6,919.11,27.14 inHg,942.67,27.84 inHg
105,[2019-11-01 16:34:13.317] ,94.5,24.6,919.06,27.14 inHg,942.62,27.84 inHg
106,[2019-11-01 16:44:13.731] ,94.7,24.6,918.98,27.14 inHg,942.54,27.84 inHg
107,[2019-11-01 16:54:14.145] ,94.6,24.6,919.28,27.15 inHg,942.84,27.85 inHg
108,[2019-11-01 17:04:14.543] ,94.6,24.6,919.6,27.16 inHg,943.18,27.86 inHg
109,[2019-11-01 17:14:14.957] ,94.7,24.6,919.53,27.16 inHg,943.1,27.85 inHg
110,[2019-11-01 17:24:15.371] ,94.9,24.5,919.5,27.16 inHg,943.07,27.85 inHg
111,[2019-11-01 17:34:15.784] ,94.9,24.4,919.02,27.14 inHg,942.58,27.84 inHg
112,[2019-11-01 17:44:16.183] ,95,24.5,918.7,27.13 inHg,942.25,27.83 inHg
113,[2019-11-01 17:54:16.596] ,95.1,24.5,918.94,27.14 inHg,942.5,27.84 inHg
114,[2019-11-01 18:04:17.010] ,95.2,24.6,918.84,27.14 inHg,942.39,27.83 inHg
115,[2019-11-01 18:14:17.424] ,95.2,24.6,918.67,27.13 inHg,942.22,27.83 inHg
116,[2019-11-01 18:24:17.838] ,95.3,24.5,918.69,27.13 inHg,942.24,27.83 inHg
117,[2019-11-01 18:34:18.236] ,95.3,24.6,918.87,27.14 inHg,942.42,27.83 inHg
118,[2019-11-01 18:44:18.650] ,95.4,24.5,918.84,27.14 inHg,942.4,27.83 inHg
119,[2019-11-01 18:54:19.064] ,95.2,24.5,918.49,27.13 inHg,942.03,27.82 inHg
120,[2019-11-01 19:04:19.462] ,94.9,24.5,917.15,27.09 inHg,940.66,27.78 inHg
121,[2019-11-01 19:14:19.876] ,95.1,24.6,916.67,27.07 inHg,940.17,27.77 inHg
122,[2019-11-01 19:24:20.290] ,95.2,24.7,916.41,27.06 inHg,939.9,27.76 inHg
123,[2019-11-01 19:34:20.704] ,95.2,24.6,917.01,27.08 inHg,940.52,27.78 inHg
124,[2019-11-01 19:44:21.102] ,95.3,24.6,916.46,27.07 inHg,939.95,27.76 inHg
125,[2019-11-01 19:54:21.516] ,95.3,24.6,916.49,27.07 inHg,939.98,27.76 inHg
126,[2019-11-01 20:04:21.930] ,95.3,24.6,916.76,27.07 inHg,940.26,27.77 inHg
127,[2019-11-01 20:14:22.344] ,95.2,24.6,916.74,27.07 inHg,940.24,27.77 inHg
128,[2019-11-01 20:24:22.742] ,95.1,24.6,916.61,27.07 inHg,940.1,27.76 inHg
129,[2019-11-01 20:34:23.156] ,95,24.6,916.33,27.06 inHg,939.82,27.76 inHg
130,[2019-11-01 20:44:23.570] ,94.7,24.6,916.26,27.06 inHg,939.74,27.75 inHg
131,[2019-11-01 20:54:23.983] ,94.8,24.5,916.48,27.07 inHg,939.97,27.76 inHg
132,[2019-11-01 21:04:24.382] ,94.8,24.5,915.8,27.05 inHg,939.27,27.74 inHg
133,[2019-11-01 21:14:24.796] ,95.2,24.4,915.66,27.04 inHg,939.13,27.74 inHg
134,[2019-11-01 21:24:25.209] ,95.1,24.4,915.94,27.05 inHg,939.42,27.74 inHg
135,[2019-11-01 21:34:25.623] ,95.1,24.3,915.3,27.03 inHg,938.76,27.72 inHg
136,[2019-11-01 21:44:26.022] ,94.9,24.4,915.82,27.05 inHg,939.3,27.74 inHg
137,[2019-11-01 21:54:26.435] ,94.9,24.4,915.48,27.04 inHg,938.94,27.73 inHg
138,[2019-11-01 22:04:26.849] ,95.2,24.4,915.7,27.04 inHg,939.17,27.74 inHg
139,[2019-11-01 22:14:27.247] ,94.9,24.4,915.66,27.04 inHg,939.13,27.74 inHg
140,[2019-11-01 22:24:27.661] ,94.8,24.2,915.51,27.04 inHg,938.98,27.73 inHg
141,[2019-11-01 22:34:28.075] ,95,24.3,915.25,27.03 inHg,938.71,27.72 inHg
142,[2019-11-01 22:44:28.489] ,94.9,24.4,915.32,27.03 inHg,938.78,27.73 inHg
143,[2019-11-01 22:54:28.887] ,94.7,24.5,915.68,27.04 inHg,939.15,27.74 inHg
144,[2019-11-01 23:04:29.301] ,94.7,24.5,915.87,27.05 inHg,939.35,27.74 inHg
145,[2019-11-01 23:14:29.715] ,94.5,24.3,916.11,27.06 inHg,939.59,27.75 inHg
146,[2019-11-01 23:24:30.113] ,95,24.2,916.4,27.06 inHg,939.89,27.76 inHg
147,[2019-11-01 23:34:30.527] ,94.8,24.2,916.49,27.07 inHg,939.99,27.76 inHg
148,[2019-11-01 23:44:30.941] ,94.8,24.2,916.71,27.07 inHg,940.2,27.77 inHg
149,[2019-11-01 23:54:31.339] ,94.8,24.2,916.32,27.06 inHg,939.81,27.76 inHg
150,[2019-11-02 00:04:31.753] ,94.7,24.2,917.05,27.08 inHg,940.55,27.78 inHg
151,[2019-11-02 00:14:32.151] ,94.7,24.1,917.09,27.08 inHg,940.6,27.78 inHg
152,[2019-11-02 00:24:32.565] ,95.1,24.2,917.45,27.10 inHg,940.97,27.79 inHg
153,[2019-11-02 00:34:32.963] ,96,24.2,917.61,27.10 inHg,941.13,27.79 inHg
154,[2019-11-02 00:44:33.377] ,96.3,24.2,918.12,27.12 inHg,941.65,27.81 inHg
155,[2019-11-02 00:54:33.791] ,96.5,24.2,918.45,27.12 inHg,941.99,27.82 inHg
156,[2019-11-02 01:04:34.189] ,95.9,24.1,919.05,27.14 inHg,942.61,27.84 inHg
157,[2019-11-02 01:14:34.603] ,96.4,24.1,917.78,27.11 inHg,941.31,27.80 inHg
158,[2019-11-02 01:24:35.002] ,96.5,24.1,917.77,27.10 inHg,941.3,27.80 inHg
159,[2019-11-02 01:34:35.415] ,96.4,24.2,918.65,27.13 inHg,942.2,27.83 inHg
160,[2019-11-02 01:44:35.814] ,96.2,24.2,918.79,27.14 inHg,942.34,27.83 inHg
161,[2019-11-02 01:54:36.227] ,96.4,24.2,918.27,27.12 inHg,941.81,27.81 inHg
162,[2019-11-02 02:04:36.626] ,96.6,24.3,918.57,27.13 inHg,942.12,27.82 inHg
163,[2019-11-02 02:14:37.040] ,96.8,24.4,919.58,27.16 inHg,943.15,27.85 inHg
164,[2019-11-02 02:24:37.438] ,96.8,24.2,919.95,27.17 inHg,943.53,27.87 inHg
165,[2019-11-02 02:34:37.852] ,97,24.2,919.91,27.17 inHg,943.49,27.86 inHg
166,[2019-11-02 02:44:38.250] ,97,24.2,919.24,27.15 inHg,942.8,27.84 inHg
167,[2019-11-02 02:54:38.648] ,97.4,24.2,919.27,27.15 inHg,942.83,27.85 inHg
168,[2019-11-02 03:04:39.062] ,97.3,24.3,919.21,27.15 inHg,942.77,27.84 inHg
169,[2019-11-02 03:14:39.460] ,97.3,24.3,918.04,27.11 inHg,941.57,27.81 inHg
170,[2019-11-02 03:24:39.874] ,97.2,24.4,917.38,27.09 inHg,940.9,27.79 inHg
171,[2019-11-02 03:34:40.288] ,96.9,24.6,917.78,27.11 inHg,941.31,27.80 inHg
172,[2019-11-02 03:44:40.702] ,96.8,24.6,916.27,27.06 inHg,939.75,27.75 inHg
173,[2019-11-02 03:54:41.100] ,96.8,24.8,915.97,27.05 inHg,939.45,27.75 inHg
174,[2019-11-02 04:04:41.530] ,96.1,24.9,914.57,27.01 inHg,938.02,27.70 inHg
175,[2019-11-02 04:14:41.934] ,95.9,25,915.24,27.03 inHg,938.7,27.72 inHg
176,[2019-11-02 04:24:42.360] ,95.5,25,914.65,27.01 inHg,938.1,27.71 inHg
177,[2019-11-02 04:34:42.774] ,94.7,25.1,914.95,27.02 inHg,938.4,27.71 inHg
178,[2019-11-02 04:44:43.188] ,94,25.1,915.7,27.04 inHg,939.18,27.74 inHg
179,[2019-11-02 04:54:43.664] ,90,24.9,915.7,,939.18,
180,[2019-11-02 05:04:43.984] ,94,25,915.7,,939.18,
181,[2019-11-02 05:14:44.429] ,94,25.2,915.7,,939.18,
182,[2019-11-02 05:24:44.765] ,91.7,24.8,915.07,27.03 inHg,938.53,27.72 inHg
183,[2019-11-02 05:34:45.179] ,85.8,25,914.63,27.01 inHg,938.07,27.70 inHg
184,[2019-11-02 05:44:45.593] ,87.8,25,914.22,27.00 inHg,937.66,27.69 inHg
185,[2019-11-02 05:54:46.016] ,88.6,25.1,914.13,27.00 inHg,937.56,27.69 inHg
186,[2019-11-02 06:04:46.430] ,90.7,25.2,914.19,27.00 inHg,937.62,27.69 inHg
187,[2019-11-02 06:14:46.844] ,90.2,25.1,915.41,,938.88,
188,[2019-11-02 06:24:46.844] ,87,25.2,916.64,27.07 inHg,940.14,27.77 inHg
189,[2019-11-02 06:34:46.844] ,89,25.1,912.08,26.94 inHg,935.46,27.63 inHg
190,[2019-11-02 06:44:46.844] ,90.4,25.5,912.08,,935.46,
191,[2019-11-02 06:54:46.844] ,82.9,25.3,912.08,,935.46,
192,[2019-11-02 07:04:46.844] ,83.8,25.4,912.08,,935.46,
193,[2019-11-02 07:14:46.844] ,82.9,25.5,912.57,26.95 inHg,935.97,27.64 inHg
194,[2019-11-02 07:24:46.844] ,83.9,25.5,912.57,,935.97,
195,[2019-11-02 07:34:46.844] ,82.8,25.6,911.42,26.92 inHg,934.79,27.61 inHg
196,[2019-11-02 07:44:46.844] ,82.5,25.7,909.47,26.86 inHg,932.78,27.55 inHg
197,[2019-11-02 07:55:55.816] ,84.7,25.7,909.67,26.87 inHg,932.99,27.55 inHg
198,[2019-11-02 08:05:56.230] ,86.4,25.7,910.36,26.89 inHg,933.7,27.58 inHg
199,[2019-11-02 08:15:56.644] ,81.9,25.8,908.91,26.84 inHg,932.21,27.53 inHg
200,[2019-11-02 08:25:57.058] ,84.9,25.8,909.85,26.87 inHg,933.17,27.56 inHg
201,[2019-11-02 08:35:57.487] ,82.5,25.6,905.49,26.74 inHg,928.7,27.43 inHg
202,[2019-11-02 08:45:57.901] ,84.9,26.2,907.85,26.81 inHg,931.12,27.50 inHg
203,[2019-11-02 08:55:58.331] ,82.7,26,909.12,26.85 inHg,932.42,27.54 inHg
204,[2019-11-02 09:05:58.760] ,82.3,25.8,909.15,26.85 inHg,932.46,27.54 inHg
205,[2019-11-02 09:15:59.174] ,82.9,25.6,905.14,26.73 inHg,928.34,27.42 inHg
206,[2019-11-02 09:25:59.588] ,84.1,26.1,904.54,26.71 inHg,927.73,27.40 inHg
207,[2019-11-02 09:36:00.017] ,81.9,26.3,904.54,,927.73,
208,[2019-11-02 09:46:00.416] ,80.6,26.3,907,26.79 inHg,930.25,27.47 inHg
209,[2019-11-02 09:56:00.829] ,81.9,25.8,906.46,26.77 inHg,929.7,27.46 inHg
210,[2019-11-02 10:06:01.259] ,84.3,25.6,907.44,26.80 inHg,930.7,27.49 inHg
211,[2019-11-02 10:16:01.673] ,83,25.7,909.2,26.85 inHg,932.5,27.54 inHg
212,[2019-11-02 10:26:02.087] ,83.1,25.6,909.54,26.86 inHg,932.86,27.55 inHg
213,[2019-11-02 10:36:02.516] ,83.9,25.5,908.3,26.83 inHg,931.59,27.51 inHg
214,[2019-11-02 10:46:02.930] ,82.6,25.7,908.3,,931.59,
215,[2019-11-02 10:56:03.390] ,83.1,25.6,909.83,26.87 inHg,933.15,27.56 inHg
216,[2019-11-02 11:06:03.726] ,81.9,25.5,909.62,26.86 inHg,932.94,27.55 inHg
217,[2019-11-02 11:16:04.187] ,81.8,25.5,908.13,26.82 inHg,931.4,27.51 inHg
218,[2019-11-02 11:26:04.523] ,80.8,25.6,908.13,,931.4,
219,[2019-11-02 11:36:04.937] ,82.7,25.6,908.22,26.82 inHg,931.5,27.51 inHg
220,[2019-11-02 11:46:05.351] ,80.8,25.6,909.3,26.85 inHg,932.61,27.54 inHg
221,[2019-11-02 11:56:05.764] ,80.8,25.6,909.23,26.85 inHg,932.53,27.54 inHg
222,[2019-11-02 12:06:06.194] ,80.5,25.6,909.83,26.87 inHg,933.15,27.56 inHg
223,[2019-11-02 12:16:06.608] ,81.8,25.5,908.43,26.83 inHg,931.71,27.52 inHg
224,[2019-11-02 12:26:07.022] ,80.9,25.4,909.28,26.85 inHg,932.58,27.54 inHg
225,[2019-11-02 12:36:07.435] ,84.5,25.6,910.06,26.88 inHg,933.38,27.57 inHg
226,[2019-11-02 12:46:07.849] ,84.1,25.6,910.79,26.90 inHg,934.13,27.59 inHg
227,[2019-11-02 12:56:08.263] ,81.8,25.4,910.41,26.89 inHg,933.75,27.58 inHg
228,[2019-11-02 13:06:08.739] ,85.6,25.6,910.46,26.89 inHg,933.79,27.58 inHg
229,[2019-11-02 13:16:09.075] ,82,25.4,910.72,26.90 inHg,934.06,27.59 inHg
230,[2019-11-02 13:26:09.489] ,81.7,25.4,910.8,26.90 inHg,934.15,27.59 inHg
231,[2019-11-02 13:36:09.903] ,82.7,25.4,910.52,26.89 inHg,933.86,27.58 inHg
232,[2019-11-02 13:46:10.317] ,81.2,25.4,910.53,26.89 inHg,933.87,27.58 inHg
233,[2019-11-02 13:56:10.731] ,82.3,25.4,911.18,26.91 inHg,934.54,27.60 inHg
234,[2019-11-02 14:06:11.145] ,85.6,25.4,910.31,26.88 inHg,933.64,27.57 inHg
235,[2019-11-02 14:16:11.558] ,87.8,25.4,910.39,26.89 inHg,933.73,27.58 inHg
236,[2019-11-02 14:26:11.972] ,84.4,25.4,908.65,26.84 inHg,931.94,27.52 inHg
237,[2019-11-02 14:36:12.386] ,90.5,25.5,910.86,26.90 inHg,934.21,27.59 inHg
238,[2019-11-02 14:46:12.816] ,92.3,25.4,909.6,26.86 inHg,932.91,27.55 inHg
239,[2019-11-02 15:06:13.659] ,93.4,25.4,909.57,26.86 inHg,932.88,27.55 inHg
240,[2019-11-02 15:16:13.995] ,93.7,25.7,910.34,26.89 inHg,933.68,27.57 inHg
241,[2019-11-02 15:26:14.409] ,91.7,25.7,910.8,26.90 inHg,934.14,27.59 inHg
242,[2019-11-02 15:36:14.838] ,95,25.8,910.79,26.90 inHg,934.13,27.59 inHg
243,[2019-11-02 15:46:15.252] ,94.1,25.8,909.76,26.87 inHg,933.08,27.56 inHg
244,[2019-11-02 15:56:15.681] ,92.8,25.8,909.91,26.87 inHg,933.23,27.56 inHg
245,[2019-11-02 16:06:16.095] ,91.9,25.7,910.47,26.89 inHg,933.81,27.58 inHg
246,[2019-11-02 16:16:16.509] ,94.5,25.8,910.04,26.88 inHg,933.37,27.57 inHg
247,[2019-11-02 16:26:16.938] ,94,25.8,910.37,26.89 inHg,933.7,27.58 inHg
248,[2019-11-02 16:36:17.352] ,94.3,25.8,911.24,26.91 inHg,934.6,27.60 inHg
249,[2019-11-02 16:46:17.782] ,94.3,25.8,910.93,26.90 inHg,934.28,27.59 inHg
250,[2019-11-02 16:56:18.196] ,94.1,25.8,910.8,26.90 inHg,934.15,27.59 inHg
251,[2019-11-02 17:06:18.610] ,93.8,25.7,910.68,26.90 inHg,934.02,27.58 inHg
252,[2019-11-02 17:16:19.039] ,94.2,25.7,910.73,26.90 inHg,934.08,27.59 inHg
253,[2019-11-02 17:26:19.453] ,94.7,25.6,910.94,26.90 inHg,934.29,27.59 inHg
254,[2019-11-02 17:36:19.882] ,94.7,25.6,910.98,26.90 inHg,934.33,27.59 inHg
255,[2019-11-02 17:46:20.296] ,94.8,25.6,911.05,26.91 inHg,934.4,27.60 inHg
256,[2019-11-02 17:56:20.710] ,94.8,25.5,911.58,26.92 inHg,934.94,27.61 inHg
257,[2019-11-02 18:06:21.139] ,94.9,25.5,911.81,26.93 inHg,935.18,27.62 inHg
258,[2019-11-02 18:16:21.553] ,94.7,25.5,911.2,26.91 inHg,934.56,27.60 inHg
259,[2019-11-02 18:26:21.967] ,94.9,25.4,911.47,26.92 inHg,934.84,27.61 inHg
260,[2019-11-02 18:36:22.397] ,94.8,25.3,912.36,26.95 inHg,935.75,27.64 inHg
261,[2019-11-02 18:46:22.810] ,94.9,25.3,911.27,26.91 inHg,934.63,27.60 inHg
262,[2019-11-02 18:56:23.224] ,95.1,25.4,912.51,26.95 inHg,935.9,27.64 inHg
263,[2019-11-02 19:16:24.099] ,95.1,25.2,911.71,26.93 inHg,935.08,27.62 inHg
264,[2019-11-02 19:26:24.435] ,94.8,25.3,910.33,26.89 inHg,933.67,27.57 inHg
265,[2019-11-02 19:36:24.864] ,94.8,25.3,911.33,26.91 inHg,934.69,27.60 inHg
266,[2019-11-02 19:46:25.278] ,95,25.3,912.64,26.95 inHg,936.03,27.64 inHg
267,[2019-11-02 19:56:25.692] ,94.9,25.3,913.46,26.98 inHg,936.87,27.67 inHg
268,[2019-11-02 20:06:26.106] ,94.7,25.3,913.62,26.98 inHg,937.04,27.67 inHg
269,[2019-11-02 20:16:26.520] ,94.8,25.3,914.44,27.01 inHg,937.89,27.70 inHg
270,[2019-11-02 20:26:26.933] ,95.3,25.2,913.61,26.98 inHg,937.03,27.67 inHg
271,[2019-11-02 20:36:27.347] ,95.5,25.1,914.07,27.00 inHg,937.5,27.69 inHg
272,[2019-11-02 20:46:27.761] ,95.6,25.1,914.4,27.01 inHg,937.84,27.70 inHg
273,[2019-11-02 20:56:28.175] ,95.9,24.9,912.9,26.96 inHg,936.3,27.65 inHg
274,[2019-11-02 21:06:28.589] ,95.9,24.9,914.26,27.00 inHg,937.69,27.69 inHg
275,[2019-11-02 21:16:29.003] ,95.9,24.9,912.69,26.95 inHg,936.08,27.65 inHg
